estado,cuenca,subcuenca,estacion,paso
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),TBOLICHE(Tres Boliches),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),TBOLICHE(Tres Boliches),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),TISLAS(Tres Islas),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),TISLAS(Tres Islas),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),TISLAS(Tres Islas),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),TISLAS(Tres Islas),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),VICHA(Vichadero),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),VICHA(Vichadero),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),VICHA(Vichadero),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),VICHA(Vichadero),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),ACHAR(Achar),SGREGO(San Gregorio de Polanco)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),ACHAR(Achar),TMARDER(Bonete Margen Derecha)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),BLANQUI(Blanquillo),SGREGO(San Gregorio de Polanco)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),BLANQUI(Blanquillo),TMARDER(Bonete Margen Derecha)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CARDOZO(Cardozo),SGREGO(San Gregorio de Polanco)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CARDOZO(Cardozo),TMARDER(Bonete Margen Derecha)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CFARRUCO(Capilla Farruco),SGREGO(San Gregorio de Polanco)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CFARRUCO(Capilla Farruco),TMARDER(Bonete Margen Derecha)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CLARA(Clara),SGREGO(San Gregorio de Polanco)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CLARA(Clara),TMARDER(Bonete Margen Derecha)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CURTINA(Curtina),SGREGO(San Gregorio de Polanco)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CURTINA(Curtina),TMARDER(Bonete Margen Derecha)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),ELIBERIA(Est. La Iberia),SGREGO(San Gregorio de Polanco)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),ELIBERIA(Est. La Iberia),TMARDER(Bonete Margen Derecha)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),EMBONETE(E.M. Bonete),SGREGO(San Gregorio de Polanco)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),EMBONETE(E.M. Bonete),TMARDER(Bonete Margen Derecha)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),EOLAZO(Est. Olazo),SGREGO(San Gregorio de Polanco)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),EOLAZO(Est. Olazo),TMARDER(Bonete Margen Derecha)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),LPALOMA(La Paloma),SGREGO(San Gregorio de Polanco)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),LPALOMA(La Paloma),TMARDER(Bonete Margen Derecha)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PCUADRA(Paso de los Cuadrados),SGREGO(San Gregorio de Polanco)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PCUADRA(Paso de los Cuadrados),TMARDER(Bonete Margen Derecha)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PERALTA(Peralta),SGREGO(San Gregorio de Polanco)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PERALTA(Peralta),TMARDER(Bonete Margen Derecha)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PHONDO(Paso Hondo),SGREGO(San Gregorio de Polanco)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PHONDO(Paso Hondo),TMARDER(Bonete Margen Derecha)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PRAMIR(Paso Ramírez),SGREGO(San Gregorio de Polanco)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PRAMIR(Paso Ramírez),TMARDER(Bonete Margen Derecha)
new,GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PSOLA(Piedra Sola),SGREGO(San Gregorio de Polanco)
